epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,9121.86,1.48675,0.79142,0.901,0.70213,0.51344,0.56332,0.30409,1.39977,0.74513,0.89988,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,9404.76,1.48489,0.78939,0.90083,0.69704,0.51967,0.56676,0.30523,1.40138,0.74579,0.90019,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,9688.29,1.48515,0.78883,0.90048,0.6983,0.51695,0.56496,0.30512,1.40302,0.74416,0.89913,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,9973.23,1.47969,0.7835,0.89846,0.70295,0.52106,0.56983,0.30666,1.39725,0.74075,0.89857,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,10254.3,1.4732,0.78022,0.89852,0.69039,0.52476,0.56771,0.30618,1.39712,0.7402,0.89745,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,10534,1.471,0.77677,0.89584,0.70249,0.51982,0.56918,0.3069,1.39603,0.73668,0.89749,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,10815.9,1.4669,0.77338,0.89524,0.70481,0.52139,0.56864,0.30744,1.39591,0.73808,0.89732,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,11093.8,1.46796,0.77088,0.89532,0.69657,0.52408,0.57075,0.30826,1.39301,0.73609,0.89669,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,11371.1,1.46051,0.76656,0.89378,0.70591,0.52397,0.57154,0.30836,1.39392,0.73633,0.8968,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,11653.2,1.40132,0.73287,0.89594,0.70337,0.52453,0.57174,0.30923,1.39309,0.73291,0.89664,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,11922.1,1.3874,0.72234,0.89426,0.69903,0.52738,0.57317,0.31017,1.38887,0.73015,0.89556,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,12191.3,1.38714,0.72082,0.89253,0.7051,0.5253,0.57354,0.30972,1.39223,0.73101,0.89581,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,12460.6,1.38091,0.7165,0.89152,0.69784,0.52948,0.57379,0.31036,1.39273,0.72896,0.89605,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,12730.5,1.37247,0.70974,0.8904,0.70748,0.52581,0.57433,0.31045,1.38928,0.7275,0.89571,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,13001.4,1.36934,0.70847,0.88904,0.70842,0.52797,0.5755,0.31072,1.39067,0.72697,0.89641,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,13272.9,1.36461,0.70452,0.88848,0.70826,0.52844,0.57564,0.31053,1.39242,0.72574,0.89639,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,13547.6,1.35699,0.69973,0.88763,0.70431,0.52965,0.57555,0.31069,1.39201,0.72516,0.89569,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,13819.1,1.35184,0.69569,0.88576,0.71023,0.52873,0.57593,0.3112,1.39123,0.7246,0.89564,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,14091.5,1.35183,0.69404,0.88553,0.70749,0.52845,0.5756,0.31108,1.39052,0.72464,0.89548,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
